,new_id
CA_MGH_sid144,mgh_144
CA_MGH_sid145,mgh_145
CA_MGH_sid146,mgh_146
CA_MGH_sid147,mgh_147
CA_MGH_sid148,mgh_148
CA_MGH_sid149,mgh_149
CA_MGH_sid15,mgh_15
CA_MGH_sid150,mgh_150
CA_MGH_sid151,mgh_151
CA_MGH_sid152,mgh_152
CA_MGH_sid153,mgh_153
CA_MGH_sid154,mgh_154
CA_MGH_sid155,mgh_155
CA_MGH_sid156,mgh_156
CA_MGH_sid157,mgh_157
CA_MGH_sid158,mgh_158
CA_MGH_sid159,mgh_159
CA_MGH_sid16,mgh_16
CA_MGH_sid160,mgh_160
CA_MGH_sid161,mgh_161
CA_MGH_sid162,mgh_162
CA_MGH_sid163,mgh_163
CA_MGH_sid164,mgh_164
CA_MGH_sid165,mgh_165
CA_MGH_sid166,mgh_166
CA_MGH_sid167,mgh_167
CA_MGH_sid168,mgh_168
CA_MGH_sid169,mgh_169
CA_MGH_sid17,mgh_17
CA_MGH_sid170,mgh_170
CA_MGH_sid171,mgh_171
CA_MGH_sid172,mgh_172
CA_MGH_sid173,mgh_173
CA_MGH_sid174,mgh_174
CA_MGH_sid175,mgh_175
CA_MGH_sid176,mgh_176
CA_MGH_sid177,mgh_177
CA_MGH_sid178,mgh_178
CA_MGH_sid179,mgh_179
CA_MGH_sid18,mgh_18
CA_MGH_sid180,mgh_180
CA_MGH_sid181,mgh_181
CA_MGH_sid182,mgh_182
CA_MGH_sid183,mgh_183
CA_MGH_sid185,mgh_185
CA_MGH_sid186,mgh_186
CA_MGH_sid19,mgh_19
CA_MGH_sid2,mgh_2
CA_MGH_sid20,mgh_20
CA_MGH_sid21,mgh_21
CA_MGH_sid22,mgh_22
CA_MGH_sid23,mgh_23
CA_MGH_sid24,mgh_24
CA_MGH_sid25,mgh_25
CA_MGH_sid26,mgh_26
CA_MGH_sid27,mgh_27
CA_MGH_sid28,mgh_28
CA_MGH_sid29,mgh_29
CA_MGH_sid3,mgh_3
